window_start	window_end	window_mid	pwsdel_retained_maternal_mean	n_pwsdel_samples	asdel_retained_paternal_mean	n_asdel_samples	reciprocal_delta	reciprocal_delta_smoothed	abs_reciprocal_delta_smoothed	boundary_threshold	delta_state
17857000	17858000	17857500	0.9032236406619385	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17858000	17859000	17858500	0.8056666666666668	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17859000	17860000	17859500	0.4997883105022831	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17860000	17861000	17860500	0.9006875	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17861000	17862000	17861500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta
17862000	17863000	17862500	0.8791954941860465	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17863000	17864000	17863500	0.8290178160919541	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17864000	17865000	17864500	0.7953560606060606	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17865000	17866000	17865500	0.7810370051635112	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17866000	17867000	17866500	0.7248076923076923	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17867000	17868000	17867500	0.5852121212121212	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17868000	17869000	17868500	0.659295518207283	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
