window_start	window_end	window_mid	mean_meth_haplotype1	mean_meth_haplotype2	control_maternal_mean	mean_meth_haplotype1_smoothed	mean_meth_haplotype2_smoothed	control_maternal_mean_smoothed
20821000	20822000	20821500	0.7595055679287306	0.8399835294117648	0.8712639902676399	0.8576898734177214	0.8566411764705882	0.8984325120268206
20822000	20823000	20822500	0.8042667946257198	0.8566411764705882	0.8673653734800231	0.8576898734177214	0.8566411764705882	0.8984325120268206
20823000	20824000	20823500	0.9554266211604096	0.9791695501730104	1.0	0.8510425531914892	0.8566411764705882	0.8872699763593381
20824000	20825000	20824500	0.6793366733466933	0.7485381443298971	0.7532763736263737	0.8510425531914892	0.8566411764705882	0.8872699763593381
20825000	20826000	20825500	0.6777661097852028	0.8405489749430525	0.9173204937220686	0.8345812220566319	0.8574015572858732	0.8712639902676399
20826000	20827000	20826500	0.7081055900621119	0.8041045627376427	0.8603140225787285	0.8258008784773061	0.8566411764705882	0.8712639902676399
20827000	20828000	20827500	0.8176196513470682	0.7771449664429528	0.8630337662337662	0.8345812220566319	0.8566411764705882	0.8712639902676399
20828000	20829000	20828500	0.9643967720242098	0.9443904028436018	0.97376700659122	0.8258008784773061	0.8488949671772429	0.8673653734800231
20829000	20830000	20829500	0.9445494575622208	0.9254362771020626	0.9452458640733288	0.8258008784773061	0.8458066429418744	0.8673653734800231
20830000	20831000	20830500	0.9361646516983304	0.9689730941704036	0.9642349191542288	0.8258008784773061	0.8458066429418744	0.8673653734800231
20831000	20832000	20831500	0.8823619909502264	0.912208986415883	0.9418539513124352	0.8258008784773061	0.8458066429418744	0.8712639902676399
20832000	20833000	20832500	0.9446093418259022	0.713578125	0.8654821222355376	0.8258008784773061	0.8422538461538461	0.8712639902676399
20833000	20834000	20833500	0.8576898734177214	0.7451440443213296	0.6318612905128431	0.8176196513470682	0.8405489749430525	0.8673653734800231
20834000	20835000	20834500	0.7945321782178217	0.7981009615384616	0.8596496110982121	0.8244834254143647	0.8405489749430525	0.8712639902676399
20835000	20836000	20835500	0.7313492990654206	0.8574015572858732	0.8359619156587119	0.8258008784773061	0.8405489749430525	0.8712639902676399
20836000	20837000	20836500	0.8510425531914892	0.8488949671772429	0.9266574587706148	0.8244834254143647	0.8405489749430525	0.8712639902676399
20837000	20838000	20837500	0.8107558528428094	0.8859013840830449	0.9003870575639248	0.8251421519458354	0.8414014105484493	0.8771324503171124
20838000	20839000	20838500	0.7484782608695651	0.7746666666666668	0.8210498783454987	0.8265620830742695	0.8414014105484493	0.8901955044561948
20839000	20840000	20839500	0.624694087403599	0.8175925925925926	0.8022715946843852	0.8265620830742695	0.8414014105484493	0.8901955044561948
20840000	20841000	20840500	0.8258008784773061	0.92430756302521	0.8048647746500537	0.8275281211083437	0.8414014105484493	0.8901955044561948
20841000	20842000	20841500	0.7577693040991419	0.8458066429418744	0.9154194187582564	0.8356758106060607	0.8440302445478602	0.8881852084582795
20842000	20843000	20842500	0.8884214876033057	0.7802802197802199	0.8508733739837399	0.8356758106060607	0.8440302445478602	0.8881852084582795
20843000	20844000	20843500	0.6326	0.644841121495327	0.6988163265306122	0.8356758106060607	0.8473508050595586	0.8881852084582795
20844000	20845000	20844500	0.8436186666666667	0.8422538461538461	0.9241285744500845	0.8356758106060607	0.8473508050595586	0.8881852084582795
20845000	20846000	20845500	0.8640560119492159	0.8921610486891386	0.9202247946746384	0.8356758106060607	0.8473508050595586	0.8881852084582795
20846000	20847000	20846500	0.8277329545454547	0.8301175000000001	0.9010304183746504	0.8356758106060607	0.8473508050595586	0.8881852084582795
20847000	20848000	20847500	0.8273232876712328	0.79675	0.8938379527959499	0.8275281211083437	0.8440302445478602	0.8881852084582795
20848000	20849000	20848500	0.7886633906633906	0.8312929936305733	0.8581384687686917	0.8265620830742695	0.8440302445478602	0.8881852084582795
20849000	20850000	20849500	0.8244834254143647	0.8356576402321082	0.9066299133910726	0.8251421519458354	0.8440302445478602	0.8881852084582795
20850000	20851000	20850500	0.8866289062499999	0.9413191056910571	0.8677118445177852	0.8265620830742695	0.8440302445478602	0.8918276567980347
20851000	20852000	20851500	0.8217209302325581	0.9053712737127372	0.8865530561164396	0.8275281211083437	0.8440302445478602	0.8971125051799373
